,Pesos,retornos markwitz em %
ALOS3.SA,1.6263032587282567e-16,-0.48882469494406805
BLAU3.SA,9.75781955236954e-17,-21.590121146325284
CGRA4.SA,10.967151477305547,-4.447689417170457
EZTC3.SA,6.288372600415926e-16,-0.7168417861123724
FIQE3.SA,2.9962836805757718,1.0224988159518436
IGTI3.SA,4.336808689942018e-17,10.13513339358233
ITSA4.SA,14.332031543224593,1.6792595451510028
TAEE3.SA,38.13696766303313,-5.579397414246419
VALE3.SA,21.98530256330063,9.518597952730524
WEGE3.SA,11.582263072560325,-3.4317834089872594
