,Pesos,retornos markwitz em %
CSUD3.SA,0.007635743957025328,-9.955890879029274
EALT3.SA,4.966890538992068,-15.5555518803472
EALT4.SA,2.546306745821316,-4.6941676175964435
EGIE3.SA,36.50963228835199,8.626274882581983
ENGI11.SA,4.71468281702857,-2.404471275623506
FESA3.SA,11.06065862497517,-2.6440714650159536
FESA4.SA,1.2739375526704677e-16,2.0007778639024383
FIQE3.SA,0.0,
ITSA4.SA,17.300797986344215,2.1631056262688
KLBN4.SA,8.040343760306891,-8.461324561057962
LREN3.SA,8.673617379884035e-17,-11.26945010162393
PETR3.SA,3.252606517456513e-17,2.6744231113044794
PRIO3.SA,0.0,
SUZB3.SA,9.863738981060084,-16.54965266761844
VALE3.SA,4.9893125131626945,-8.053288520656107
