,Pesos,retornos markwitz em %
ALLD3.SA,1.2078279860862606,1.7391242932734907
ALPA3.SA,4.2214214879882554,33.690636467680605
ALPA4.SA,5.854042568123286e-17,29.55181685758541
BALM4.SA,4.533023255059663,27.380095101818497
BMOB3.SA,1.503182963317817e-16,24.760238731213942
COGN3.SA,5.119515572926133e-16,38.09144720646241
ENGI11.SA,3.5483306519342297,19.42658470015389
LOGG3.SA,1.090604539687538,15.128123978105041
TAEE3.SA,40.13311247634117,6.686394701613538
TAEE4.SA,45.26567960290288,6.581720607938261
