,Pesos,retornos markwitz em %
AFLT3.SA,16.483795642637862,0.7431077307774394
BBSE3.SA,13.188468744720044,8.319890376925452
CSUD3.SA,0.08161761034467584,12.310167296040522
FESA3.SA,6.145892012888334,14.151437310773638
FESA4.SA,12.097427597141513,16.465126852286783
ITSA4.SA,5.086640676790366,18.991234405375764
NUTR3.SA,9.618242870732404,11.999998092651376
PETR3.SA,7.340193778833171,25.557240286622896
SLCE3.SA,14.601362749212965,-2.7409400131522386
TIMS3.SA,15.356358316698673,-5.510339382790656
