,Pesos,retornos markwitz em %
ABEV3.SA,16.233195836694374,19.654217201430217
BRAP3.SA,15.560696899722293,10.677090980763325
CAMB3.SA,3.77781474854295,0.5779462952369618
CGAS5.SA,16.870610848363743,16.806717701640117
CMIG4.SA,5.1010604132329735,-2.7002616279009835
ENEV3.SA,3.869246503057644e-16,18.17279025983126
FIQE3.SA,2.3634821522875256,15.798811196820711
FLRY3.SA,3.8403715639277634,2.442984619818416
HYPE3.SA,1.4845427609166604,11.927212390792961
ITSA3.SA,13.024727897841965,21.24621172059484
VIVT3.SA,9.553279941425991,10.219068318426581
WEGE3.SA,12.190216937043749,-11.90174702918066
