,Pesos,retornos markwitz em %
ALOS3.SA,2.1589905207665305e-15,8.604618440917717
CMIG4.SA,14.588490727521902,-3.6394416007025483
CSUD3.SA,5.761667894614017,11.604775224364577
CYRE3.SA,1.5676824768339293e-15,45.465596785678855
DIRR3.SA,0.0,
EALT3.SA,8.672723847422311,7.575757828555077
FIQE3.SA,6.947409216755925,12.42901588721006
FLRY3.SA,15.791248243924844,2.0070533488825446
ITSA3.SA,36.402281752269275,19.15787748803876
LWSA3.SA,0.0,
MULT3.SA,8.087481152685436,11.43983964383382
WIZC3.SA,3.748697164806288,16.441009966634226
