,Pesos,retornos markwitz em %
ABEV3.SA,1.7047838175318206,-11.784075699149982
AFLT3.SA,14.837756935750873,-4.437068540106033
GOAU3.SA,22.22379838055707,-13.40964118312189
PETR4.SA,3.1756088111581593,4.128853003782243
RADL3.SA,6.753061701759246,-20.033139586343154
SMTO3.SA,11.8833087958267,-18.274195640190317
TIMS3.SA,3.6705301127298777e-16,-9.525479204882766
USIM3.SA,5.421010862427522e-16,-34.24736955351095
VIVT3.SA,35.964766292561045,-10.587740487776623
WEGE3.SA,3.4569152648550747,-24.347945362308952
