,Pesos,retornos markwitz em %
EALT3.SA,3.156790524914213,-3.743318847745202
FESA3.SA,5.703554131982721,14.297155738314546
FESA4.SA,9.287045960954448,4.848236571131896
KLBN3.SA,16.129775036484734,7.357476629577894
LREN3.SA,2.3651853463125905,-31.073475247460962
MULT3.SA,9.921304719550369,-14.062590955397436
PETR3.SA,6.956859104215457,-10.68897252117438
PETR4.SA,4.723106443630569,-16.44376135152649
RENT3.SA,1.3019030009081893,-18.330263161104188
TAEE3.SA,35.63784754021581,-10.062415026661158
TOTS3.SA,4.8166281908309045,-11.27528632523336
