,Pesos,retornos markwitz em %
ABEV3.SA,10.482460574522486,-9.715196070238964
AFLT3.SA,9.34057694519964,2.502037350555082
AHEB3.SA,7.644445038308846,2.000000000000007
BALM4.SA,6.5538941674009905,12.024229263040482
BMEB3.SA,8.713030125008379,-16.009890278904862
BMOB3.SA,1.265114546608932,-2.0241938055086903
BRAP3.SA,7.413880080624727,-10.597613291995433
CEDO3.SA,5.759408765758507,32.608695652173914
CMIG3.SA,10.344809814044211,2.332073559261709
CSUD3.SA,6.478551774581379,-10.951895069941397
CYRE3.SA,0.0,
FRAS3.SA,13.828840086670805,-2.016645266467166
WEGE3.SA,12.174988081271103,-4.524119115439384
