,Pesos,retornos markwitz em %
AHEB3.SA,10.28446525710611,-22.48603186764067
BGIP4.SA,9.90403606854714,0.3237391121752868
CYRE3.SA,2.046161429496965e-15,19.038389226517342
DIRR3.SA,13.26828454208665,21.63991810603867
EALT3.SA,7.078186990360881,-14.539246518847845
EALT4.SA,7.520446551599308,-19.060964682782323
ITSA3.SA,15.42802206445654,8.8788128437188
JHSF3.SA,1.2850125587634255e-15,25.151561646190494
TAEE11.SA,12.560161962662022,9.027693613948495
TAEE4.SA,14.317764602847669,8.359865129221928
WEGE3.SA,9.638631960333688,-13.089348809939628
