,Pesos,retornos markwitz em %
ABEV3.SA,8.609438637820007,6.527858419560865
BLAU3.SA,9.638896415618206,-17.29221443838382
CMIG4.SA,4.822740877329492,-2.922096275833995
CSNA3.SA,6.659170567363655,-9.978388185650557
CSUD3.SA,4.657589388165468,-31.05702189753433
CYRE3.SA,0.0,
ESPA3.SA,0.0,
EZTC3.SA,10.85847692708261,-10.970835455176166
ITSA3.SA,16.63543686719586,-11.26334498305513
SLCE3.SA,5.7362552238492075,-4.8996715667982995
VALE3.SA,20.962756493011096,3.2719484387994586
WEGE3.SA,11.419238602564405,-14.878021764500701
