,Pesos,retornos em %
CSUD3.SA,7.207207207207207,-9.95587918768038
EALT3.SA,6.306306306306307,-15.555546508888254
EALT4.SA,6.306306306306307,-4.694183713692773
EGIE3.SA,7.207207207207207,8.626300739428206
ENGI11.SA,6.306306306306307,-2.404459891491193
FESA3.SA,5.405405405405405,-2.64407146501589
FESA4.SA,5.405405405405405,2.0007689040922285
FIQE3.SA,7.207207207207207,-7.094426438259011
ITSA4.SA,8.108108108108109,2.163123393050207
KLBN4.SA,6.306306306306307,-8.461301423048317
LREN3.SA,7.207207207207207,-11.269462936162542
PETR3.SA,6.306306306306307,2.674423111304422
PRIO3.SA,6.306306306306307,-9.067050457162207
SUZB3.SA,6.306306306306307,-16.549652667618467
VALE3.SA,8.108108108108109,-8.053283708037554
