,Pesos,retornos em %
AHEB3.SA,6.718924972004479,63.15789473684211
CSUD3.SA,6.718924972004479,-8.37803463154499
EALT3.SA,6.718924972004479,15.497654938553355
MDIA3.SA,6.718924972004479,-20.55205117537883
TIMS3.SA,6.718924972004479,-7.409512506487684
WEGE3.SA,6.718924972004479,10.531841135671103
ABEV3.SA,4.591265397536394,-7.008980637959312
ALLD3.SA,4.591265397536394,-11.556297633793617
AZZA3.SA,4.591265397536394,-17.99745259893393
BALM4.SA,4.591265397536394,-2.407406335458225
BMIN3.SA,4.591265397536394,-0.049979105109442555
BMOB3.SA,4.591265397536394,-6.276870482492736e-14
BRAP4.SA,4.591265397536394,-6.405072666307618
CMIG3.SA,4.591265397536394,11.397690736345714
EGIE3.SA,4.591265397536394,12.415107046035427
FLRY3.SA,4.591265397536394,1.1440148041811065
HYPE3.SA,4.591265397536394,-9.415058947479816
ITSA3.SA,4.591265397536394,-2.8311988425914665
LREN3.SA,4.591265397536394,-27.713848796514473
