,Pesos,retornos em %
ABEV3.SA,15.0,14.13611596951632
CAMB3.SA,15.0,23.507355868260376
WEGE3.SA,15.0,30.059163627001475
EALT3.SA,20.0,35.867610285035795
IGTI3.SA,20.0,-0.7692308428787294
CEBR6.SA,15.0,-10.122695140040875
