,Pesos,retornos em %
CMIG3.SA,18.867924528301888,2.3320659213461803
WEGE3.SA,18.867924528301888,-4.5241333461267415
ABEV3.SA,5.660377358490566,-9.715211836708528
AFLT3.SA,5.660377358490566,2.5020373505550735
AHEB3.SA,5.660377358490566,2.0000000000000044
BALM4.SA,5.660377358490566,12.024229263040484
BMEB3.SA,5.660377358490566,-16.009890278904887
BMOB3.SA,5.660377358490566,-2.024193805508685
BRAP3.SA,5.660377358490566,-10.597607558663714
CEDO3.SA,5.660377358490566,32.6086956521739
CSUD3.SA,5.660377358490566,-10.951890055106874
FRAS3.SA,5.660377358490566,-2.0166452664671755
CYRE3.SA,5.660377358490566,-21.309195439281353
