,Pesos,retornos em %
CMIG4.SA,10.714285714285715,-3.6394317196124835
CSUD3.SA,10.714285714285715,11.604767860237022
EALT3.SA,10.714285714285715,7.57575782855507
FIQE3.SA,10.714285714285715,12.429015887210179
WIZC3.SA,10.714285714285715,16.441009966634237
ALOS3.SA,7.142857142857143,8.604606157068556
CYRE3.SA,7.142857142857143,45.465596785678855
DIRR3.SA,7.142857142857143,24.278356571760114
FLRY3.SA,7.142857142857143,2.0070533488825553
ITSA3.SA,7.142857142857143,19.157861842494032
LWSA3.SA,7.142857142857143,-17.337462156750995
MULT3.SA,3.5714285714285716,11.439851659956155
