,Pesos,retornos em %
CAML3.SA,16.25,-7.539667570803559
CSMG3.SA,14.25,-3.5781810604874202
EGIE3.SA,8.25,-3.1488728787216695
HYPE3.SA,8.25,-5.525274728255976
MDIA3.SA,8.25,-7.53012109579286
TAEE3.SA,8.25,17.48634771175391
WEGE3.SA,22.25,-5.391318443422026
WIZC3.SA,14.25,-3.213356254266265
