,Pesos,retornos em %
FESA4.SA,-2.1949369950075415,4.848227252259659
PETR4.SA,10.219493699500754,-16.44376709695323
TAEE3.SA,10.219493699500754,-10.062451655603361
TOTS3.SA,10.219493699500754,-11.275286325233386
EALT3.SA,10.219493699500754,-3.743325199769499
KLBN3.SA,10.219493699500754,7.3574860350856985
LREN3.SA,10.219493699500754,-31.073464011117245
MULT3.SA,10.219493699500754,-14.062606710398923
RENT3.SA,10.219493699500754,-18.330256568743533
FESA3.SA,10.219493699500754,14.297183075156832
PETR3.SA,10.219493699500754,-10.688962247218353
