,Pesos,retornos em %
ABEV3.SA,4.545454545454545,19.654217201430228
WEGE3.SA,13.636363636363637,-11.901747029180648
CAMB3.SA,13.636363636363637,0.5779462952369753
BRAP3.SA,4.545454545454545,10.677090980763312
CGAS5.SA,9.09090909090909,16.80671770164012
CMIG4.SA,9.09090909090909,-2.7002616279009994
ENEV3.SA,9.09090909090909,18.172790259831263
FIQE3.SA,4.545454545454545,15.798811196820711
FLRY3.SA,6.818181818181818,2.442984619818432
HYPE3.SA,9.09090909090909,11.927212390792972
ITSA3.SA,9.09090909090909,21.24621172059486
VIVT3.SA,6.818181818181818,10.219068318426599
