,retorno_medio_anual,volatilidade_anual,cagr,max_drawdown,avg_drawdown,calmar,sortino
Selic,0.09293553486045966,0.0024090177748649568,0.09693513628590456,0.0,0.0,,
IBOV,0.14025983590605112,0.23317837615546466,0.11758213599799916,-0.4681580884813598,-0.039887100482908826,0.25115903984361215,
Markowitz,0.26827366081194487,0.19907100391603608,0.2315890809883996,-0.26082005770171995,-0.03319053504849238,0.8879266534525899,
Carteira,0.26208750669752306,0.2207865692310924,0.22054824973185738,-0.3588100531973637,-0.041219169534731745,0.6146657479815503,
