,ann_vol,ann_mean_ret,cagr,max_drawdown,avg_drawdown,calmar,sortino
Carteira,0.1677502823039433,0.4987055015825341,,-2.5040163983987758,-2.0106545910833122,,3.0820294653012716
IBOV,0.15210931429428048,0.30888209232545927,,-2.3821623240475343,-1.963529310787703,,2.10710809025293
Markowitz,0.12831809779482709,0.46786283882509994,,-1.9369928007394215,-1.7976177918770493,,4.029566381712519
